lineID,start,end,t1,t2
1,388,8895,ts1,ts2
2,9119,15134,ts3,ts4
3,15253,18343,ts5,ts6
4,18462,22865,ts7,ts8
5,22985,25501,ts9,ts10
6,25501,28000,ts11,ts12
7,28417,35999,ts13,ts14
8,35999,41058,ts15,ts16
9,41401,43715,ts17,ts18
10,43904,46082,ts19,ts20
11,46145,48275,ts21,ts22
12,48481,49821,ts23,ts24
13,50161,51864,ts25,ts26
14,52223,56650,ts27,ts28
15,57394,62213,ts29,ts30
16,62240,64271,ts31,ts32
17,65751,68826,ts33,ts34
18,69105,71671,ts35,ts36
19,71734,72738,ts37,ts38
20,73232,75849,ts39,ts40
21,76095,77364,ts41,ts42
22,77818,79304,ts43,ts44
23,79444,81986,ts45,ts46
24,82752,84310,ts47,ts48
25,84375,85932,ts49,ts50
26,86137,91892,ts51,ts52
27,92014,93856,ts53,ts54
28,93905,96368,ts55,ts56
29,96505,98035,ts57,ts58
30,98149,101611,ts59,ts60
31,101611,103639,ts61,ts62
32,103753,105927,ts63,ts64
33,106209,110932,ts65,ts66
34,111924,114754,ts67,ts68
35,115189,117310,ts69,ts70
36,117427,120848,ts71,ts72
37,120910,122549,ts73,ts74
38,123357,125633,ts75,ts76
39,125738,126975,ts77,ts78
40,127635,129686,ts79,ts80
41,130274,131793,ts81,ts82
