 lineID,start,end,t1,t2
1,744,2620,ts1,ts2
2,3393,4600,ts3,ts4
3,5331,8558,ts5,ts6
4,9317,13772,ts7,ts8
5,14668,17671,ts9,ts10
6,17671,19605,ts11,ts12
7,20834,24247,ts13,ts14
8,24688,26957,ts15,ts16
9,27667,31460,ts17,ts18
10,31806,36999,ts19,ts20
11,37337,40075,ts21,ts22
12,40085,41255,ts23,ts24
13,41255,47450,ts25,ts26
14,47813,49520,ts27,ts28
15,50173,53530,ts29,ts30
16,53895,56433,ts31,ts32
17,56816,60377,ts33,ts34
18,60377,62158,ts35,ts36
19,63240,66323,ts37,ts38
20,66806,70109,ts39,ts40
21,70864,74428,ts41,ts42
22,75560,76807,ts43,ts44
23,77715,81552,ts45,ts46
24,81696,83540,ts47,ts48
25,84857,87566,ts49,ts50
26,89004,91634,ts51,ts52
27,92506,95474,ts53,ts54
28,95659,97073,ts55,ts56
29,97839,102420,ts57,ts58
30,102532,104195,ts59,ts60
31,104338,105660,ts61,ts62
32,106484,108380,ts63,ts64
33,109471,113339,ts65,ts66
34,113721,118326,ts67,ts68
35,118573,121478,ts69,ts70
36,121744,126948,ts71,ts72
37,127439,129409,ts73,ts74
38,129744,131574,ts75,ts76
39,131785,133494,ts77,ts78
40,134283,135845,ts79,ts80
41,135874,138578,ts81,ts82
42,139501,140726,ts83,ts84
43,141586,143866,ts85,ts86
44,144504,146305,ts87,ts88
45,146814,148386,ts89,ts90
46,148863,151084,ts91,ts92
47,151457,153881,ts93,ts94
48,153885,156121,ts95,ts96
49,156127,159644,ts97,ts98
50,160424,163553,ts99,ts100
51,163995,166962,ts101,ts102
52,167973,172187,ts103,ts104
53,173357,174755,ts105,ts106
54,176132,179612,ts107,ts108
55,180482,182792,ts109,ts110
56,183169,187121,ts111,ts112
57,187622,190851,ts113,ts114
58,191077,194431,ts115,ts116
59,194686,197236,ts117,ts118
60,198047,200179,ts119,ts120
61,200723,203438,ts121,ts122
62,203852,206188,ts123,ts124
63,207032,210556,ts125,ts126
64,211538,216689,ts127,ts128
65,216741,217995,ts129,ts130
66,218812,219816,ts131,ts132
67,219837,222874,ts133,ts134
68,223091,226194,ts135,ts136
69,226664,229188,ts137,ts138
70,229309,232143,ts139,ts140
71,232682,233855,ts141,ts142
72,234239,236811,ts143,ts144
73,236999,237810,ts145,ts146
74,238022,238741,ts147,ts148
75,238921,240604,ts149,ts150
76,240840,245406,ts151,ts152
77,245717,246799,ts153,ts154
