 lineID,start,end,t1,t2
1,0,13344,ts1,ts3
2,13344,19255,ts2,ts4
3,19255,26300,ts5,ts6
4,26300,34337,ts7,ts8
5,34337,42242,ts9,ts10
6,42242,47771,ts11,ts12
7,47771,53051,ts13,ts14
8,53051,59941,ts15,ts16
9,59941,67500,ts17,ts18
10,67500,75901,ts19,ts20
11,75901,81881,ts21,ts22
12,81881,89641,ts23,ts24
13,89641,92671,ts25,ts26
14,92671,94961,ts27,ts28
15,94961,98591,ts29,ts30
16,98591,106381,ts31,ts32
17,106381,110951,ts33,ts34
18,110951,120791,ts35,ts36
19,120791,126631,ts37,ts38
20,126631,136571,ts39,ts40
21,136571,140991,ts41,ts42
22,140991,148721,ts43,ts44
23,148721,153381,ts45,ts46
24,153381,161211,ts47,ts48
25,161211,173541,ts49,ts50
26,173541,181951,ts51,ts52
27,181951,191131,ts53,ts54
28,191131,195941,ts55,ts56
29,195941,203681,ts57,ts58
30,203681,207931,ts59,ts60
31,207931,210341,ts61,ts62
32,210341,213771,ts63,ts64
33,213771,218081,ts65,ts66
34,218081,222621,ts67,ts68
35,222621,226771,ts69,ts70
36,226771,234151,ts71,ts72
37,234151,243921,ts73,ts74
38,243921,256111,ts75,ts76
39,256111,258951,ts77,ts78
40,258951,264721,ts79,ts80
41,264721,271711,ts81,ts82
42,271711,282031,ts83,ts84
43,282031,287201,ts85,ts86
44,287201,291091,ts87,ts88
45,291091,296011,ts89,ts90
46,296011,308371,ts91,ts92
47,308371,311471,ts93,ts94
48,311471,319961,ts95,ts96
49,319961,338731,ts97,ts98
50,338731,349221,ts99,ts100
51,349221,351521,ts101,ts102
52,351521,357821,ts103,ts104
53,357821,366601,ts105,ts106
54,366601,375151,ts107,ts108
55,375151,390531,ts109,ts110
56,390531,400531,ts111,ts112
57,400531,405301,ts113,ts114
58,405301,408081,ts115,ts116
59,408081,410541,ts117,ts118
60,410541,415621,ts119,ts120
61,415621,418771,ts121,ts122
62,418771,420741,ts123,ts124
63,420741,426171,ts125,ts126
64,426171,430021,ts127,ts128
65,430021,433861,ts129,ts130
66,433861,439991,ts131,ts132
67,439991,444051,ts133,ts134
68,444051,446671,ts135,ts136
69,446671,452931,ts137,ts138
70,452931,461971,ts139,ts140
71,461971,467091,ts141,ts142
72,467091,471151,ts143,ts144
73,471151,474841,ts145,ts146
74,474841,478651,ts147,ts148
75,478651,490531,ts149,ts150
76,490531,504961,ts151,ts152
77,504961,510251,ts153,ts154
78,510251,512121,ts155,ts156
79,512121,518631,ts157,ts158
80,518631,529811,ts159,ts160
81,529811,537351,ts161,ts162
82,537351,551771,ts163,ts164
83,551771,562141,ts165,ts166
84,562141,566011,ts167,ts168
85,566011,569721,ts169,ts170
86,569721,571521,ts171,ts172
87,571521,577101,ts173,ts174
88,577101,579401,ts175,ts176
89,579401,584421,ts177,ts178
90,584421,588341,ts179,ts180
91,588341,594731,ts181,ts182
92,594731,600511,ts183,ts184
93,600511,606331,ts185,ts186
94,606331,611051,ts187,ts188
95,611051,615131,ts189,ts190
96,615131,616991,ts191,ts192
97,616991,621201,ts193,ts194
98,621201,628761,ts195,ts196
99,628761,634231,ts197,ts198
100,634231,636501,ts199,ts200
101,636501,643431,ts201,ts202
102,643431,648591,ts203,ts204
103,648591,652871,ts205,ts206
104,652871,659871,ts207,ts208
105,659871,666041,ts209,ts210
106,666041,670711,ts211,ts212
107,670711,674671,ts213,ts214
108,674674,676084,ts215,ts216
109,676087,677877,ts217,ts218
110,677877,689881,ts219,ts220
111,689881,692441,ts221,ts222
112,692441,693951,ts223,ts224
113,693951,697221,ts225,ts226
114,697221,704181,ts227,ts228
115,704181,712891,ts229,ts230
116,712891,715801,ts231,ts232
117,715801,718521,ts233,ts234
118,718521,727211,ts235,ts236
119,727211,732661,ts237,ts238
120,732661,743711,ts239,ts240
121,743717,745141,ts241,ts242
122,745141,752481,ts243,ts244
123,752481,759601,ts245,ts246
124,759601,762611,ts247,ts248
125,762611,764901,ts249,ts250
126,764901,768061,ts251,ts252
127,768061,770991,ts253,ts254
128,770991,773891,ts255,ts256
129,773891,780501,ts257,ts258
130,780509,782631,ts259,ts260
131,782631,793241,ts261,ts262
132,793241,800661,ts263,ts264
133,800661,807191,ts265,ts266
134,807197,821511,ts267,ts268
135,821511,826541,ts269,ts270
136,826541,834051,ts271,ts272
137,834051,839001,ts273,ts274
138,839001,842581,ts275,ts276
139,842581,845681,ts277,ts278
140,845681,853631,ts279,ts280
141,853631,867441,ts281,ts282
142,867441,875491,ts283,ts284
143,875491,880611,ts285,ts286
144,880611,883911,ts287,ts288
145,883911,889671,ts289,ts290
