 lineID,start,end,t1,t2
1,2640,4940,ts1,ts2
2,5520,8900,ts3,ts4
3,9010,13160,ts5,ts6
4,13729,21979,ts7,ts8
5,23429,24579,ts9,ts10
6,25234,26334,ts11,ts12
7,27009,28129,ts13,ts14
8,28431,31471,ts15,ts16
9,32392,36562,ts17,ts18
10,37725,41867,ts19,ts20
11,43707,47730,ts21,ts22
12,48203,54513,ts23,ts24
13,56853,60813,ts25,ts26
14,62882,68170,ts27,ts28
15,69244,76570,ts29,ts30
16,78272,81912,ts31,ts32
17,83670,86340,ts33,ts34
18,87020,89550,ts35,ts36
19,91230,94870,ts37,ts38
20,95580,101700,ts39,ts40
21,102940,109040,ts41,ts42
22,110460,113580,ts43,ts44
23,115765,117815,ts45,ts46
24,122060,125150,ts47,ts48
25,125730,130760,ts49,ts50
26,132160,136490,ts51,ts52
27,136780,141500,ts53,ts54
28,141905,144195,ts55,ts56
29,145680,149920,ts57,ts58
30,151690,156730,ts59,ts60
31,158720,162220,ts61,ts62
32,164590,167680,ts63,ts64
33,168735,175985,ts65,ts66
34,176605,182845,ts67,ts68
35,183940,185640,ts69,ts70
36,187330,195030,ts71,ts72
37,197740,201990,ts73,ts74
38,203275,205680,ts75,ts76
39,208280,209093,ts77,ts79
40,209093,215987,ts78,ts80
41,216545,218050,ts81,ts82
42,219590,221400,ts83,ts84
43,222750,225140,ts85,ts86
44,226960,228700,ts87,ts88
45,229870,233040,ts89,ts90
46,233730,237150,ts91,ts92
47,238315,241195,ts93,ts94
48,242330,244050,ts95,ts96
49,244705,247925,ts97,ts98
50,249820,251660,ts99,ts100
51,252090,256520,ts101,ts102
52,257270,263410,ts103,ts104
53,264890,269080,ts105,ts106
54,270950,275620,ts107,ts108
55,277190,280840,ts109,ts110
56,282830,286140,ts111,ts112
57,286730,288780,ts113,ts114
58,291150,295060,ts115,ts116
59,296500,302280,ts117,ts118
60,303410,304390,ts119,ts120
61,305930,307840,ts121,ts122
62,309300,311560,ts123,ts124
63,312740,316133,ts125,ts126
64,317218,321078,ts127,ts128
65,323820,327240,ts129,ts130
66,327540,333470,ts131,ts132
67,333510,336220,ts133,ts134
68,337350,341270,ts135,ts136
69,341955,345790,ts137,ts138
